"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm"
"purcete8520152016","Teddy.Purcell","RL","FLA/EDM",82,20152016,30,"4.500","4.500",16,29,45,0.7,1.28,1.98,3,54.19,98.16,9.94,16.63,16.62
"pysykma9220152016","Mark.Pysyk","D","BUF",55,20152016,23,"1.000","1.125",1,10,11,0.07,0.68,0.75,-11,51.81,99.23,2.27,6.35,15.96
"quincky8520152016","Kyle.Quincey","D","DET",51,20152016,30,"4.250","4.250",4,8,12,0.24,0.48,0.72,-12,44.06,98.84,6.15,-19.67,19.58
"quineal9320152016","Alan.Quine","C","NYI",12,20152016,22,"0.620","0.595",2,4,6,0.65,1.3,1.96,-1,49.84,100.04,11.76,9.43,15.34
"rafflmi8820152016","Michael.Raffl","L","PHI",88,20152016,26,"1.200","1.100",14,18,32,0.68,0.87,1.55,5,56.34,101.09,10,7.79,14.06
"rakelri9320152016","Rickard.Rakell","C","ANA",79,20152016,22,"0.833","0.894",21,24,45,1,1.14,2.15,13,59.71,98.79,11.48,22.34,15.92
"ramagjo9120152016","John.Ramage","D","CBJ",1,20152016,24,"0.600","0.600",0,0,0,0,0,0,0,27.27,77.78,NA,3.68,13.84
"randety9120152016","Tyler.Randell","R","BOS",27,20152016,24,"0.600","0.600",6,0,6,1.89,0,1.89,-3,39.24,103.36,33.33,2.16,7.06
"rantami9620152016","Mikko.Rantanen","R","COL",9,20152016,18,"0.925","0.925",0,0,0,0,0,0,0,38.17,85.42,0,4.3,9.24
"raskxvi9320152016","Victor.Rask","C","CAR",80,20152016,22,"0.750","0.681",21,27,48,0.92,1.18,2.1,0,56.3,100.03,13.12,19.57,17.11
"rasmude9020152016","Dennis.Rasmussen","CL","CHI",44,20152016,25,"0.575","0.575",4,5,9,0.57,0.71,1.28,4,49.15,105.28,9.52,4.41,9.59
"rattity9320152016","Ty.Rattie","R","STL",13,20152016,22,"NA","0.772",4,2,6,2.04,1.02,3.06,-1,51.3,101.57,25,11.3,9.05
"rauxxky9220152016","Kyle.Rau","C","FLA",9,20152016,22,"0.792","0.859",0,0,0,0,0,0,2,54.74,99.78,0,4.08,12.49
"raymoma8520152016","Mason.Raymond","RL","CGY",29,20152016,29,"3.150","3.150",4,1,5,0.67,0.17,0.84,0,51.3,98.19,7.55,6.71,12.32
"readxma8620152016","Matt.Read","RL","PHI",85,20152016,29,"4.000","3.625",11,15,26,0.52,0.71,1.22,0,51.23,98.73,8.33,-4.45,14.99
"reavery8720152016","Ryan.Reaves","R","STL",69,20152016,28,"1.125","1.125",3,1,4,0.33,0.11,0.44,-2,47.59,97.78,8.82,2.31,7.93
"redmoza8820152016","Zach.Redmond","D","COL",37,20152016,27,"0.800","0.750",2,4,6,0.27,0.55,0.82,-2,46.61,103.6,9.09,4.82,11.83
"regnebr8920152016","Brent.Regner","D","FLA",7,20152016,26,"0.600","0.600",0,0,0,0,0,0,-2,44.2,94.44,0,-7,11.7
"reillmi9320152016","Mike.Reilly","D","MIN",29,20152016,22,"0.925","0.925",1,6,7,0.17,1.02,1.19,-3,51.81,98.72,3.7,23.26,12.18
"reinhgr9420152016","Griffin.Reinhart","D","EDM",29,20152016,21,"0.833","0.863",0,1,1,0,0.11,0.11,-6,44.02,98.22,0,-6.43,18.14
"reinhsa9520152016","Sam.Reinhart","CR","BUF",79,20152016,19,"0.925","0.894",23,19,42,1.04,0.86,1.89,10,57.9,100.57,13.94,19.45,16.85
"rendubo9220152016","Borna.Rendulic","R","COL",3,20152016,23,"0.630","0.620",0,0,0,0,0,0,0,26.83,85.71,0,5.45,7.61
"ribeimi8020152016","Mike.Ribeiro","C","NSH",93,20152016,35,"3.500","3.500",7,45,52,0.27,1.7,1.97,-1,61.42,100.55,8.43,49,17.03
"richabr8020152016","Brad.Richards","C","DET",73,20152016,35,"3.000","3.000",11,18,29,0.62,1.01,1.63,-3,61.08,102.14,6.25,16.02,14.65
"richabr8520152016","Brad.Richardson","C","ARI",82,20152016,30,"1.750","2.083",11,20,31,0.52,0.95,1.47,-1,42.85,101.18,9.4,-6.13,15.45
"richami8520152016","Mike.Richards","CL","WSH",51,20152016,30,"NA","NA",2,3,5,0.2,0.3,0.49,0,41.64,97.34,3.64,-19.77,11.96
"riedeto9320152016","Tobias.Rieder","C","ARI",82,20152016,22,"0.925","0.853",14,23,37,0.59,0.97,1.56,20,50.61,96.43,7.41,8.14,17.4
"riellmo9420152016","Morgan.Rielly","D","TOR",82,20152016,21,"0.833","0.894",9,27,36,0.28,0.85,1.13,-2,50.89,98.04,5.39,-4.69,23.22
"rinalza9020152016","Zac.Rinaldo","LR","BOS",52,20152016,25,"0.850","0.850",1,2,3,0.14,0.27,0.41,-3,38.34,100.35,2.63,-0.73,8.52
"ristora9420152016","Rasmus.Ristolainen","D","BUF",82,20152016,20,"0.925","0.925",9,32,41,0.26,0.92,1.18,7,46.84,99.72,4.46,-7.52,25.34
"ritchbr9320152016","Brett.Ritchie","R","DAL",10,20152016,22,"0.833","0.814",0,1,1,0,0.56,0.56,1,51.81,91.27,0,6.52,10.73
"ritchni9520152016","Nicholas.Ritchie","L","ANA",33,20152016,19,"0.925","0.894",2,2,4,0.31,0.31,0.62,-6,54.73,98.62,3.64,11.7,11.73
