"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm"
"stastpa8520152016","Paul.Stastny","C","STL",78,20152016,29,"7.000","7.000",13,45,58,0.51,1.78,2.3,-4,53.79,101.01,9.56,5.19,19.44
"steenal8420152016","Alex.Steen","LC","STL",81,20152016,31,"5.800","5.800",21,39,60,0.76,1.4,2.16,-3,50.99,103.31,10.24,3.16,20.58
"stemple8320152016","Lee.Stempniak","R","N.J/BOS",82,20152016,32,"0.850","0.850",19,32,51,0.78,1.32,2.1,-6,47.92,101.89,13.01,5.04,17.77
"stepade9020152016","Derek.Stepan","C","NYR",77,20152016,25,"8.000","6.500",24,31,55,1.06,1.36,2.42,4,52.02,99.96,11.32,8.26,17.71
"stephch9420152016","Chandler.Stephenson","C","WSH",9,20152016,21,"0.693","0.726",0,0,0,0,0,0,-1,55.45,86.96,0,13.92,7.72
"stewach8720152016","Chris.Stewart","R","ANA",63,20152016,27,"1.700","1.700",9,14,23,0.81,1.26,2.07,-3,55.46,101.98,10.59,12.22,10.57
"stollja8220152016","Jarret.Stoll","C","NYR/MIN",84,20152016,33,"0.800","0.800",4,5,9,0.24,0.3,0.53,-10,31.24,98.28,7.84,-40.95,12.07
"stonecl8520152016","Clayton.Stoner","D","ANA",51,20152016,30,"3.250","3.250",1,5,6,0.08,0.39,0.47,-10,47.25,98.64,3.12,-9.87,15.1
"stonema9220152016","Mark.Stone","R","OTT",75,20152016,23,"2.250","3.500",23,38,61,0.92,1.53,2.45,-8,55.67,99.65,15.23,12.04,19.93
"stonemi9020152016","Michael.Stone","D","ARI",75,20152016,25,"1.450","1.150",6,30,36,0.21,1.07,1.29,-18,49.32,99.77,3.73,5.35,22.4
"stracty8420152016","Tyson.Strachan","D","MIN",2,20152016,30,"0.650","0.650",0,0,0,0,0,0,0,60,114.29,NA,-7.69,7.78
"straibr8820152016","Brian.Strait","D","NYI",52,20152016,27,"0.925","0.775",1,5,6,0.08,0.38,0.45,-6,43.79,100.2,2.33,-5.77,15.36
"stralan8620152016","Anton.Stralman","D","T.B",73,20152016,29,"4.500","4.500",9,25,34,0.34,0.94,1.28,-4,53.19,101.44,7.09,4.89,21.86
"streebe8720152016","Ben.Street","C","COL",7,20152016,28,"0.650","0.650",0,0,0,0,0,0,-1,40.87,97.81,0,-19.16,7.58
"streima7720152016","Mark.Streit","D","PHI",68,20152016,37,"5.750","5.250",6,18,24,0.25,0.75,0.99,1,51.29,99.61,5.22,1.78,21.29
"stromry9320152016","Ryan.Strome","RC","NYI",79,20152016,22,"0.833","0.863",9,23,32,0.45,1.15,1.59,-4,53.17,98.94,6.21,13.42,15.24
"stuarbr7920152016","Brad.Stuart","D","COL",6,20152016,35,"3.600","3.600",0,0,0,0,0,0,0,40.8,95.12,NA,-15.57,14.35
"stuarma8420152016","Mark.Stuart","D","WPG",64,20152016,31,"3.300","2.625",1,2,3,0.06,0.11,0.17,-8,38.56,96.15,2.56,-18.1,16.59
"subbapk8920152016","P.K..Subban","D","MTL",68,20152016,26,"NA","NA",6,45,51,0.2,1.53,1.73,-16,56.06,100.89,3.41,12.19,26.01
"summech8820152016","Chris.Summers","D","NYR",3,20152016,27,"0.625","0.600",0,0,0,0,0,0,0,46.34,86.78,0,-27,13.69
"sundqos9420152016","Oskar.Sundqvist","CR","PIT",20,20152016,21,"0.667","0.701",1,3,4,0.29,0.88,1.18,0,47.71,100,7.69,-2.25,10.19
"sustran9020152016","Andrej.Sustr","D","T.B",87,20152016,24,"1.300","1.450",4,18,22,0.16,0.73,0.9,-13,44.74,101.33,5.26,-20.34,16.91
"suterry8520152016","Ryan.Suter","D","MIN",88,20152016,30,"9.000","7.538",8,46,54,0.19,1.1,1.29,-9,52.41,100.65,4.04,8.75,28.48
"suttebr8920152016","Brandon.Sutter","C","VAN",20,20152016,26,"3.300","3.300",5,4,9,0.86,0.69,1.54,4,53.92,101.68,11.11,1.25,17.48
"suttebr9120152016","Brody.Sutter","C","CAR",8,20152016,23,"0.600","0.600",0,0,0,0,0,0,1,35.83,91.11,0,0.07,9.51
"svedbvi9120152016","Viktor.Svedberg","D","CHI",30,20152016,24,"NA","NA",2,2,4,0.27,0.27,0.53,-2,46.37,97.95,4.76,-2.64,15.09
"talboma8420152016","Max.Talbot","C","BOS",38,20152016,31,"1.000","1.800",2,5,7,0.28,0.69,0.97,0,35.37,96.84,6.9,-19.85,11.41
"tanevch8920152016","Christopher.Tanev","D","VAN",69,20152016,25,"3.500","4.450",4,14,18,0.16,0.56,0.72,5,45.18,97.88,9.52,-20.48,21.76
"tangrer8920152016","Eric.Tangradi","L","DET",1,20152016,26,"0.575","0.575",0,0,0,0,0,0,0,63.64,100,NA,-1.15,6.33
"tangual7920152016","Alex.Tanguay","LR","ARI/COL",70,20152016,35,"3.500","3.500",8,27,35,0.43,1.46,1.9,-4,49.84,102.9,11.27,17.46,15.82
"taormma8620152016","Matt.Taormina","D","T.B",6,20152016,28,"0.600","0.600",0,0,0,0,0,0,1,47.37,107.41,0,-3.99,8.82
"tarasvl9120152016","Vladimir.Tarasenko","R","STL",94,20152016,23,"8.000","7.500",47,40,87,1.61,1.37,2.98,13,57.27,102.26,13.86,39.53,18.63
"tatarto9020152016","Tomas.Tatar","LR","DET",86,20152016,24,"2.750","2.750",21,27,48,1.02,1.31,2.33,3,63.1,100.84,12.28,19.6,14.35
"tavarjo9020152016","John.Tavares","C","NYI",89,20152016,24,"6.000","5.500",39,42,81,1.29,1.39,2.68,17,57.69,102.43,13.49,35.16,20.36
"tennyma9020152016","Matt.Tennyson","D","S.J",29,20152016,25,"0.625","0.625",2,2,4,0.39,0.39,0.79,1,50.99,99.71,8.33,19.31,10.48
"teravte9420152016","Teuvo.Teravainen","C","CHI",85,20152016,21,"0.925","0.894",13,23,36,0.63,1.11,1.73,6,51.92,100.57,8.72,-4.29,14.67
"terrych8920152016","Chris.Terry","RL","CAR",68,20152016,26,"0.875","0.875",8,3,11,0.63,0.24,0.86,2,50,96.3,10.26,3.21,11.24
"theodsh9520152016","Shea.Theodore","D","ANA",25,20152016,20,"0.833","0.863",3,5,8,0.4,0.67,1.06,1,53.72,104.3,8.82,16.33,18.04
"thomach9220152016","Christian.Thomas","R","ARI/MTL",6,20152016,23,"0.600","0.600",0,2,2,0,2.29,2.29,-1,59.34,102.13,0,-3.3,8.75
"thompna8420152016","Nate.Thompson","C","ANA",56,20152016,30,"1.600","1.600",5,3,8,0.46,0.27,0.73,-7,41.97,98.61,9.62,-10.21,11.76
"thomppa8820152016","Paul.Thompson","R","N.J",3,20152016,26,"0.575","0.575",0,0,0,0,0,0,-1,46.3,103.33,0,21.79,12.81
"thorbch8320152016","Chris.Thorburn","LR","WPG",82,20152016,32,"1.200","1.200",6,6,12,0.43,0.43,0.87,-7,43.21,99.65,8.57,-4.47,10.13
"thornjo7920152016","Joe.Thornton","C","S.J",94,20152016,36,"6.750","6.750",22,71,93,0.76,2.44,3.19,-3,63.23,103.21,15.83,25.85,18.6
"thornsh7720152016","Shawn.Thornton","R","FLA",54,20152016,38,"1.200","1.200",1,4,5,0.13,0.52,0.65,-6,48.1,99.37,1.67,10.39,8.48
"tiernch9420152016","Chris.Tierney","C","S.J",91,20152016,21,"0.792","0.712",10,14,24,0.49,0.69,1.18,11,41.29,98.12,9.71,-20.33,13.37
"tikhovi8820152016","Viktor.Tikhonov","C","ARI/CHI",50,20152016,27,"1.040","1.040",3,3,6,0.32,0.32,0.64,-1,47.19,96.97,7.32,-0.67,11.23
"tinorja9220152016","Jarred.Tinordi","D","ARI/MTL",10,20152016,23,"0.851","0.851",0,0,0,0,0,0,1,40,95.67,0,-12.12,13.99
"tlustji8820152016","Jiri.Tlusty","LR","N.J",30,20152016,27,"0.800","0.800",2,2,4,0.29,0.29,0.58,0,48.47,101.51,5.26,-3.23,13.75
"toewsjo8820152016","Jonathan.Toews","C","CHI",87,20152016,27,"13.800","10.500",28,36,64,1,1.28,2.28,12,54.18,102.81,14.21,12.68,19.39
"toffoty9220152016","Tyler.Toffoli","RL","L.A",87,20152016,23,"2.600","3.250",31,28,59,1.24,1.12,2.36,0,60.28,102.13,14.03,10.3,17.28
"tolchse9520152016","Sergey.Tolchinsky","L","CAR",2,20152016,20,"0.625","0.633",0,1,1,0,2.51,2.51,0,58.33,109.09,0,0.23,11.93
"tootojo8320152016","Jordin.Tootoo","R","N.J",66,20152016,32,"0.825","0.825",4,5,9,0.31,0.39,0.7,-3,50.75,94.12,4.44,1.63,11.64
"trochvi9320152016","Vincent.Trocheck","C","FLA",78,20152016,22,"0.600","0.662",25,29,54,1.06,1.23,2.29,4,55.17,102.94,14.04,9.39,18.15
"trotmza9020152016","Zach.Trotman","D","BOS",38,20152016,25,"0.650","0.625",2,5,7,0.17,0.42,0.59,-8,45.97,100.57,3.33,-8.35,18.66
"troubja9420152016","Jacob.Trouba","D","WPG",81,20152016,21,"0.833","0.894",6,15,21,0.2,0.51,0.71,-9,47.34,99.18,4.51,-9.61,21.95
"tryamni9420152016","Nikita.Tryamkin","D","VAN",13,20152016,21,"NA","NA",1,1,2,0.27,0.27,0.54,-3,41.76,99.47,9.09,-2.94,17.11
"turriky8920152016","Kyle.Turris","C","OTT",57,20152016,26,"3.500","3.500",13,17,30,0.7,0.92,1.62,0,55.62,99.22,10.66,22.03,19.49
"tyutife8320152016","Fedor.Tyutin","D","CBJ",61,20152016,32,"5.000","4.500",1,2,3,0.06,0.11,0.17,-6,45.63,97.09,4,-5.87,17.43
"umberrj8220152016","R.J..Umberger","LR","PHI",39,20152016,33,"NA","NA",2,9,11,0.31,1.38,1.69,2,46.3,103.08,4.17,7.11,10.03
"upshasc8320152016","Scottie.Upshall","RL","STL",84,20152016,31,"0.700","0.700",7,10,17,0.48,0.68,1.16,7,46.37,100.54,5.6,-12.76,10.5
"valieri9520152016","Rinat.Valiev","D","TOR",10,20152016,20,"0.743","0.778",0,0,0,0,0,0,2,51.47,99.09,0,0.19,12.13
"vandech8720152016","Chris.Vandevelde","C","PHI",85,20152016,28,"0.700","0.713",3,12,15,0.15,0.62,0.77,-1,39.33,97.56,3.85,-12.66,13.75
"vanekth8420152016","Thomas.Vanek","RL","MIN",74,20152016,31,"6.500","6.500",18,23,41,0.93,1.19,2.13,-3,54.21,100.26,12.33,24.12,15.62
"vanrija8920152016","James.van.Riemsdyk","L","TOR",40,20152016,26,"4.750","4.250",14,15,29,1.17,1.25,2.42,3,61.56,100.3,10.85,30.09,17.95
"vanritr9120152016","Trevor.van.Riemsdyk","D","CHI",89,20152016,24,"0.925","0.925",4,11,15,0.13,0.36,0.5,-3,47.55,98.38,4.17,-2.92,20.36
"varonph9020152016","Philip.Varone","CL","BUF",5,20152016,24,"0.600","0.600",1,1,2,1.71,1.71,3.42,0,37.31,111.4,50,-0.19,7.01
"vatansa9120152016","Sami.Vatanen","D","ANA",78,20152016,24,"1.275","1.262",10,32,42,0.36,1.15,1.5,-5,54.33,102.11,6.58,6.05,21.48
"vatrafrNA20152016","Frank.Vatrano","C","BOS",39,20152016,NA,"NA","NA",8,3,11,1.04,0.39,1.43,-2,50.86,97.44,8.08,14.75,11.8
"vermean8220152016","Antoine.Vermette","C","ARI",76,20152016,33,"3.750","3.750",17,21,38,0.8,0.99,1.79,-18,51.53,99.25,13.82,10.2,16.72
"vermijo9220152016","Joel.Vermin","R","T.B",6,20152016,23,"0.635","0.600",0,1,1,0,1.08,1.08,0,54.55,103.33,0,9.53,9.28
"verstkr8620152016","Kris.Versteeg","LR","L.A/CAR",82,20152016,29,"4.700","4.400",16,24,40,0.78,1.17,1.95,5,61.59,98.73,9.94,15.36,14.97
"veyxxli9120152016","Linden.Vey","CR","VAN",41,20152016,24,"1.000","1.000",4,11,15,0.38,1.04,1.42,1,49.03,98.25,10,5.8,15.42
"virtaja9620152016","Jake.Virtanen","LR","VAN",55,20152016,19,"0.925","0.894",7,6,13,0.64,0.55,1.19,2,53.14,99.02,7.45,5.13,11.87
"vitaljo8520152016","Joe.Vitale","CR","ARI",1,20152016,30,"1.100","1.117",0,0,0,0,0,0,2,50,150,0,32.58,6.67
"vlasima8720152016","Marc-Edouard.Vlasic","D","S.J",79,20152016,28,"4.250","4.250",8,38,46,0.26,1.25,1.52,-5,49.64,101.85,5.67,-12.93,23.04
"voracja8920152016","Jakub.Voracek","R","PHI",79,20152016,26,"4.500","4.250",12,44,56,0.49,1.81,2.3,5,61.06,100.6,5.24,20.27,18.5
"vrbatra8120152016","Radim.Vrbata","R","VAN",63,20152016,34,"5.000","5.000",13,14,27,0.77,0.83,1.6,-3,55.36,95.54,6.57,15.31,16.03
"wagnech9120152016","Chris.Wagner","CR","ANA/COL",45,20152016,24,"0.600","0.600",4,2,6,0.58,0.29,0.87,-1,44.27,96.9,7.14,-2.75,9.16
"wardxjo8020152016","Joel.Ward","R","S.J",91,20152016,34,"3.275","3.275",23,27,50,0.91,1.07,1.97,-8,52.54,97.8,14.94,-3.06,16.71
"warsoda9020152016","David.Warsofsky","D","N.J/PIT",22,20152016,25,"0.600","0.600",1,1,2,0.16,0.16,0.31,3,58.33,94.99,2.5,32.27,17.43
"watsoau9220152016","Austin.Watson","CR","NSH",57,20152016,23,"0.575","0.575",3,7,10,0.32,0.75,1.08,-6,42.05,97.35,5.45,-38.31,9.77
"wealxjo9220152016","Jordan.Weal","C","PHI/L.A",14,20152016,23,"0.632","0.632",0,0,0,0,0,0,1,48.13,101.85,0,7.6,8.9
"webermi8720152016","Mike.Weber","D","WSH/BUF",47,20152016,27,"2.000","1.667",1,4,5,0.08,0.34,0.42,-12,45.63,100.23,2.5,-6.56,15.14
"webersh8520152016","Shea.Weber","D","NSH",92,20152016,30,"14.000","7.857",23,36,59,0.58,0.9,1.48,-11,50.67,98.47,10.8,-3.29,25.95
"weberya8820152016","Yannick.Weber","D","VAN",45,20152016,26,"1.500","1.500",0,6,6,0,0.43,0.43,-11,52.47,97.75,0,14.59,18.4
"weiseda8820152016","Dale.Weise","R","MTL/CHI",75,20152016,27,"1.025","1.025",15,13,28,0.91,0.79,1.7,6,56.06,100.42,10.79,14.24,13.16
"welshje8820152016","Jeremy.Welsh","CL","STL",2,20152016,27,"0.575","0.575",0,0,0,0,0,0,-1,70.83,100,NA,-17.79,8.1
"wennbal9420152016","Alexander.Wennberg","C","CBJ",69,20152016,20,"0.925","0.925",8,33,41,0.44,1.8,2.24,17,53.37,100.79,8.25,18.75,15.94
"wheelbl8620152016","Blake.Wheeler","R","WPG",82,20152016,29,"5.800","5.600",26,52,78,0.95,1.9,2.86,5,57.95,99.44,10.16,18.27,19.99
"whitery8820152016","Ryan.White","CR","PHI",79,20152016,27,"0.800","0.800",12,5,17,0.73,0.3,1.03,-11,46.54,98.15,12.37,-0.66,12.57
"widemch9020152016","Chris.Wideman","D","OTT",64,20152016,25,"0.600","0.600",6,7,13,0.4,0.47,0.87,-12,46.8,102.36,6.9,2.95,14.01
"widemde8320152016","Dennis.Wideman","D","CGY",51,20152016,32,"5.250","5.250",2,17,19,0.11,0.97,1.08,-1,48.83,98.83,2.67,12.22,20.66
"wiercpa9020152016","Patrick.Wiercioch","D","OTT",52,20152016,25,"2.700","2.000",0,5,5,0,0.34,0.34,-6,48.57,100.88,0,4.49,17.2
"williju8120152016","Justin.Williams","R","WSH",94,20152016,33,"3.250","3.250",25,33,58,0.98,1.3,2.28,-10,55.77,100.74,10.82,13.16,16.2
"wilsoco8920152016","Colin.Wilson","C","NSH",78,20152016,25,"3.750","3.938",11,26,37,0.57,1.34,1.9,7,56.29,100.05,8.15,9.14,14.96
"wilsoga9120152016","Garrett.Wilson","L","FLA",35,20152016,24,"0.675","0.675",0,2,2,0,0.37,0.37,-2,51.46,97.34,0,14.06,9.37
"wilsosc9220152016","Scott.Wilson","LC","PIT",24,20152016,23,"0.667","0.655",5,1,6,1.18,0.24,1.41,4,55.97,97.02,12.82,5.56,10.61
"wilsoto9420152016","Tom.Wilson","R","WSH",94,20152016,21,"0.833","0.894",7,17,24,0.35,0.85,1.19,-6,41.4,100.53,6.54,-13.53,12.84
"wingeto8820152016","Tommy.Wingels","RL","S.J",78,20152016,27,"2.475","2.475",8,11,19,0.47,0.64,1.11,13,46.87,97.29,6.25,-8.44,13.12
"winnida8520152016","Daniel.Winnik","C","TOR/WSH",88,20152016,30,"2.700","2.250",6,13,19,0.31,0.68,0.99,-1,46.22,99.12,5.31,-17.35,13.12
"wisnija8420152016","James.Wisniewski","D","CAR",1,20152016,31,"5.000","5.500",0,0,0,0,0,0,0,NA,NA,NA,NA,0.64
"witkolu9020152016","Luke.Witkowski","D","T.B",6,20152016,25,"0.575","0.575",0,0,0,0,0,0,-1,62.3,105.88,0,28.96,5.8
"woodsbr9220152016","Brendan.Woods","CL","CAR",5,20152016,23,"0.775","0.725",0,0,0,0,0,0,0,55.74,100,0,-10.44,8.68
"woodxmi9520152016","Miles.Wood","L","N.J",1,20152016,20,"NA","NA",0,0,0,0,0,0,1,46.67,100,0,-64.52,13.22
"wothety9320152016","Tyler.Wotherspoon","D","CGY",11,20152016,22,"0.925","0.925",0,1,1,0,0.39,0.39,0,48.56,97.01,0,-6.43,14.09
"yakupna9320152016","Nail.Yakupov","LR","EDM",60,20152016,21,"2.500","2.500",8,15,23,0.56,1.05,1.62,1,53.33,97.25,6.3,13.06,14.23
"yandlke8620152016","Keith.Yandle","D","NYR",87,20152016,29,"5.750","5.250",6,42,48,0.21,1.45,1.65,-10,56.06,100.67,3.43,33.79,20.02
"zachapa9720152016","Pavel.Zacha","C","N.J",1,20152016,18,"NA","NA",0,2,2,0,6.42,6.42,0,61.54,128.57,0,4.55,18.69
"zadorni9520152016","Nikita.Zadorov","D","COL",22,20152016,20,"0.925","0.894",0,2,2,0,0.32,0.32,-3,45.2,96.37,0,-4.36,16.84
"zajactr8520152016","Travis.Zajac","C","N.J",74,20152016,30,"6.500","5.750",14,28,42,0.57,1.13,1.7,4,46.1,103.39,12.61,-7.72,20.02
"zalewmi9220152016","Michael.Zalewski","L","VAN",3,20152016,23,"NA","NA",0,1,1,0,1.75,1.75,-1,52.17,107.69,0,18.48,11.45
"zettehe8020152016","Henrik.Zetterberg","CL","DET",87,20152016,34,"7.500","6.083",14,37,51,0.5,1.32,1.82,6,58.43,99.99,6.17,24.19,19.32
"zibanmi9320152016","Mika.Zibanejad","C","OTT",81,20152016,22,"2.000","2.625",21,30,51,0.87,1.24,2.11,13,51.6,99.96,11.41,18.88,17.89
"zidlima7720152016","Marek.Zidlicky","D","NYI",58,20152016,38,"1.500","1.500",4,13,17,0.26,0.85,1.11,-11,52.58,104.09,7.69,19.12,15.86
"zolniha8720152016","Harry.Zolnierczyk","L","ANA",1,20152016,28,"0.600","0.600",0,0,0,0,0,0,1,57.89,66.67,0,13.33,9.28
"zubruda7820152016","Dainius.Zubrus","L","S.J",53,20152016,37,"NA","NA",2,4,6,0.2,0.4,0.59,-3,46.05,102.68,6.06,-8.11,11.42
"zuccama8720152016","Mats.Zuccarello","RL","NYR",86,20152016,28,"4.500","4.500",27,36,63,1.03,1.37,2.4,6,55.66,101.65,15.17,24.82,18.29
"zuckeja9220152016","Jason.Zucker","LR","MIN",77,20152016,23,"0.950","0.900",13,12,25,0.67,0.62,1.29,13,50.7,98.74,8.12,2.54,15.07
